Q1 - age,Q2 - race/ethnicity,Q3 - freshman,Q4 - live on campas,Q5 - international student,Q6 - experienced nonconsensual sexual contact by another student,Q7 - How does the information about the Title IX Mandate make you feel?,"Q8 - After viewing the video about the Title IX Mandate, how do you think you would behave if you were to experience nonconsensual sexual contact by another student?",Q9 - Who would you tell if you were to experience nonconsensual sexual contact?,"Q10 - How do you believe the Title IX Mandate would affect your decision to ask for help from CARE (victim advocacy), Student Health, or Counseling Services if you were to experience nonconsensual sexual contact?","Q11 - How do you want Resident Assistants, professors, and student employees of the university to handle your private information if you tell them you experienced nonconsensual sexual contact?",Q12 - How might the Title IX Mandate to report nonconsensual sexual contact affect your relationship with your friends and other students?,Q13 - How does the Title IX Mandate affect your safety within the campus community?,Q14 - Which university employees are not required to report information about nonconsensual sexual contact to a Title IX Coordinator?,Q15 - Which university employees are required to report information about nonconsensual sexual contact to a Title IX Coordinator?,Q16 - What living and classroom arrangements do you believe the university should make for the student who experiences nonconsensual sexual contact by another student?,Q17 - What should the university do to or for the student who is suspected of causing nonconsensual sexual contact to another student?,"Q18 - If you were to experience nonconsensual sexual contact caused by another student, how would you feel about telling that student how his or her actions affected you if a professionally trained counselor were there to help you through it?",Q19 - What does an ideal campus community look like to you?,Q20 - What can you and other students do to create and maintain an ideal campus community?, ,,,,,,,,,,,,,
18 years old,Hispanic,Yes,Yes,No,No,I think it's good that we have Title IX because people need safety when they aren't able to seek it themselves.,I would be sad but I would now who and how to handle the situation.,I would go to my friends and have them come with me to the counseling center.,It would encourage me to make use of those services.,"I would want them to tell a Title IV coordinator and to help me further understand what I could do, legal wise.","I think my friends would be there for me, I doubt they would be judgmental so I think it would create a stronger bond.",I hope that everyone is aware of this mandate so that people can be smart when they go out.,"Resident Assistants,Professors,Health Care Providers,Mental Health Counselors","Friends,",I think maybe the student should have sometime away from school.,I think the student should get tested for any infections and the student should be permitted to miss a few days of class.,I wouldn't want the counselor there with me if I were to confront the person.,Like the Dub.,Look out for each other., ,,,,,,,,,,,,,
19 years old,White / Caucasian,Yes,Yes,No,No,"I think it is good to have laws in order for this kind of thing, I also think it is good that professors and RA's are taught how to handle these scenarios.",I think I would go to a friend or my RA first,A friend or RA,I think I would go to one of these places if I truly felt that it was a serious matter. If I was just confused and questioning events I would probably just confide in a friend.,"I would like for them to not divulge the information to other people, I think that should be solely up to the victim. I do think maybe setting up a session with a counselor would be beneficial.",I don't think it would effect my relationship with friends,I think it improves safety on campus.,"Friends,Victim Advocates,Mental Health Counselors,,","Resident Assistants,Professors,Health Care Providers,,,",I believe the victim should be giving some personal time so that their grade was not effected. I also think if it occurred in a dorm maybe moving the victim to a different floor or dorm would help.,Contact them and ask them to discuss the events that went on,"I would be nervous, depending on how well I knew the person.",Where students feel safe walking around at just about anytime. And staff is welcoming and open minded.,"Keep open minds, and remain understanding of others.", ,,,,,,,,,,,,,
19 years old,White / Caucasian,Yes,Yes,No,No,I'm glad there are rules in place to these things,"I think I would first definitely go to the doctor, to make sure everything is ok and because it is totally confidential.","My mom, a doctor","I kind of think it would almost deter me away from it because they are required to tell someone, but I also really do agree with it.",They are required to tell someone about it,It almost seems like nothing is really confidential. Like if something were to happen everyone would be required to tell someone.,It makes me feel like if this were to happen to me then I would certainly have somewhere to go and someone to talk to about it.,"Friends,Health Care Providers,Peer Educators,,","Resident Assistants,Professors,Mental Health Counselors,,,",I think the person should not be anywhere around the person who assaulted them. Make the person who assaulted them change classes or buildings.,Investigate totally!!! Don't punish them of course unless there is more than just a feeling,"I would not have a problem confronting the person, but some people who may be more shy definitely might. They would probably not want to every speak to them again regardless of if a counselor were there.",UNCW! It is perfect and in regards to this it makes me feel safe,Talk openly about some of these issues! Definitely don't be the friends in the videos who didn't believe their friend! Make it known with your friends and peer that you are an advocate for this sort of thing., ,,,,,,,,,,,,,
18 years old,White / Caucasian,Yes,Yes,No,No,I strongly agree with the mandate because nit every student is going to be comfortable talking to a stranger about these things.,I would take the proper steps to make sure everything was okay and to get the help I need.,MY doctor and my close friend,It would only affect my decision because I would not be sure what I would have to do and my options and they would help me.,I would like them to tell who they're required to and maybe relay the information to anyone that could give me more information.,Many friends may judge and take things lightly.,It makes me feel safer because I know that there are people around that can help with anything,"Health Care Providers,Mental Health Counselors,,,","Resident Assistants,Professors,Friends ,Peer Educators,,",They should make sure that if the person knows the person that did it that they do not come in contact with them. and they should be in a dorm where they feel comfortable and don't have to worry about it happening again.,Follow proper investigations and steps to make sure it doesn't happen again.,I would not be comfortable with it,"safe, friendly and helpful",We can always be there to help and support one another., ,,,,,,,,,,,,,
18 years old,White / Caucasian,Yes,Yes,No,No,It is reassuring that there are places on campus that I can go if I need someone to talk to.,I think I would be scared to talk about it because it is not something people want to hear. I would probably go to the CARE office so that I could talk about it with a professional,I would probably tell my friends and go see someone at the CARE office,"It makes me a little hesitant, but I know that they are there to help me and to do what is best for me.","I want them to be non-judgmental towards me. I think I would feel scared for them to report it, but I know that it will be better for me in the long run.",I would only want to tell my closest friends and people I can trust so it doesn't get spread around.,"It makes me feel safer knowing that when things like this happen, the campus is trying to make sure it doesn't happen again.","Friends,Health Care Providers,Mental Health Counselors,,","Resident Assistants,Professors,Peer Educators,,,",I think they should possibly move the student if they feel unsafe. They could be moved to a more safe dorm.,I think they should talk to the student about their actions and how they effected someone else. They should be given a curfew so that they can't go out and party.,I would feel scared to confront them. It places a name with a face and it makes the situation more real.,Students who care and respect each other and want to protect one another.,Look out for others if at a party and make sure that they get home safely., ,,,,,,,,,,,,,
19 years old,White / Caucasian,Yes,Yes,No,No,Respondent skipped this question,Respondent skipped this question,Respondent skipped this question,Respondent skipped this question,Respondent skipped this question,Respondent skipped this question,Respondent skipped this question,"Health Care Providers,Mental Health Counselors,,","Resident Assistants,Professors,,,,",Respondent skipped this question,Respondent skipped this question,Respondent skipped this question,Respondent skipped this question,Respondent skipped this question, ,,,,,,,,,,,,,
18 years old,Black or African American,Yes,Yes,No,No,It really opened my eyes to how many resources are on campus for help with nonconsensual sexual conduct.,I would be able to tell them where to refer to.,I would tell my RA,It would make it harder for people to receive help.,They don't tell anyone,It would make it harder for people to tell their friends.,More crimes would be committed on campus,"Health Care Providers,Peer Educators,,","Resident Assistants,Professors,,,,",a safe environment,Contact authorities,I would be very comfortable telling them,"a happy, crime-free place",Respondent skipped this question, ,,,,,,,,,,,,,
19 years old,Black or African American,Yes,Yes,No,No,I feel pretty comfortable knowing that there are steps in cases of non consensual sexual contact reports,I would know what to do and where I could go to receive help with the issue.,A professor that I trusted or someone in the CARE office,I feel like I have someone whom I could confied in and trust with my experience,I would want them to report at my discretion,"It really doesn't, I wish if I were to tell my friends they would go and report but most likely they won't because it seemed from the video that they weren't really required to",It makes me a little skeptical about my safety but also a little at peace,"Resident Assistants,Friends,Mental Health Counselors,","Professors,Health Care Providers,Peer Educators,,,",I don't think living arrangements will do much to prevent non consensual sexual acts but we can resort back to the old arrangements of boys on inside of a dorm and girl on another,Expell them,I would confront them and let them know what they did and report them,One inclusive and understanding of the situation each gender faces and one that is willing to work towards making everyone comfortable,Lead by example, ,,,,,,,,,,,,,
19 years old,White / Caucasian,Yes,Yes,No,No,"closed in. People should be able to say or not say whatever they feel comfortable with, without having others involved against their wishes.","I would talk to my mom first, then depending on the situation, most likely move forward by reporting officially, I wouldn't tell my RA or professors.","My mom, my friends possibly.",I probably wouldn't talk to them.,"I would want them to be able to respect it, and not have to report it, if I didn't want them to.","It could negatively effect it I guess, make things more awkward, because its more than I'm willing to share at any given time.",I don't think it does.,"Friends,Health Care Providers,Mental Health Counselors,","Resident Assistants,Professors,Peer Educators,,,",whatever the victim feels most comfortable with....and if the perpetrator is known....at the very least EXPELL them,EXPELL THEM....and or ARREST them.....there should be ZERO tolerance for this.,........why would I need to talk to the student who raped me? That may be very difficult if they deny it happened or something......,no rape.,We can talk more openly about what REALLY happens on a campus and not cover things up or pretend they aren't in front of us., ,,,,,,,,,,,,,
19 years old,White / Caucasian,Yes,Yes,No,No,Good to know that there are people I can report to.,I would most likely go to a health professional and report the experience.,Most likely a friend or RA.,It would make me want to seek advice from CARE.,"To only report it to necessary people (police, Dean of students, etc)",It would make it easier to talk about nonconsensual sexual experiences & how to handle them.,It makes me feel safer knowing that there are people/places I can report to without necessarily making a police report.,"Friends,Health Care Providers,Victim Advocates,","Resident Assistants,Professors,Victim Advocates,Peer Educators,,","Probably living in a building where they feel safest; if the assailant is in class or lives near them, then accommodations should be made so the victim feels safe.","Investigate the allegations & pursue necessary legal action, if the victim decides to report the assailant","I would most likely not want to face them for a long amount of time, even if a counselor was there.",Brightly lit at night; police officers on duty patrolling campus; Students willing to step in and help prevent sexual assault before it happens.,"Be more vigilant and look out for other students, whether on or off campus.", ,,,,,,,,,,,,,
20 years old,White / Caucasian,Yes,Yes,No,No,It makes me feel confident of my options of this situation ever seemed to come up.,I think i would go to a healthcare provider and check for std as well as go to the councilling center.,I would tell a health care provider and those at the councilling center.,"It would make me more confident in the resources on campus, making me more likely to use those resources.",I want them to report it to CARE or the councilling center on campus.,I do not think it would affect my relationship with my friends or other students.,"I believe it ensures my safety on campus, keeping my information between only those who will need it.","Friends,Health Care Providers,Mental Health Counselors,","Resident Assistants,Professors,Victim Advocates,Peer Educators,Mental Health Counselors,",They should make arrangements with students around classroom assignments and assessments.,They should reprimanded them if the other student wants to press charges.,I would not have a problem with a counsilor being there.,"Where we can all coexist without the need for nonconsensual sex that hurts others, where we all feel safe.",We can speak up and be honest about the injustices that take place as well as stand up for what is right., , ,,, ,,, ,,, ,,,
19 years old,Respondent skipped this question,Yes,Yes,No,No,All of the students seemed very uncomfortable with sharing any more information once they knew that someone else had to be told.,I would go to one of the offices on campus.,I would first tell a close friend and have them go with me to one of the resources on campus.,It would push e towards the campus resources.,If they are not directly able to help they should steer you towards someone that can help more.,If you are trying to talk to them about something they don't agree with it could strain your relationship.,It makes it so that someone higher up has to know about what happened so you are safer if prosecutions take place.,"Friends,Health Care Providers,Peer Educators,","Resident Assistants,Professors,Peer Educators,,,",They should be allowed to no longer be near someone that has assaulted them.,Punish accordingly.,I would be very nervous and probably wouldn't be able to successfully tell them.,Friendly.,Help eachother, , ,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,"I feel like this makes since, especially now that I know more about it.",I would definitely tell someone and take care of myself first.,Healthcare professional.,I wouldn't tell anyone that is required to tell other people.,I feel like they should only tell people if the I want them to.,I don't think it will affect my relationships.,"I think it does push people to seek help and authority, which is good.","Friends,Health Care Providers,Mental Health Counselors,","Resident Assistants,Professors,Victim Advocates,Peer Educators,Mental Health Counselors,",They should be able to switch into a different class or move somewhere else if they don't want to be in the presence of the perpetrator.,Ask them what happened and if the story is different from the victim then get the law involved. But the victim should choose to what extent the law should be involved.,"I would feel more likely to exaggerate my viewpoint of the situation whether it helps me or not if the counselor was there because I
would feel pressured to make ""black and white"" statements that would be perceived as the right thing to say by the counselor.",One with respect but not overly bureaucratic and open to many perspectives.,I can watch out for my friends when situations like nonconsensual sex could occur., ,,,, ,,, ,,, ,,,
18 years old,Black or African American,Yes,Yes,No,No,Like they're are real issues on this campus,I would feel like I had somewhere to go,My RA,I would have options about who to contact,To ensure it is kept private,I'd ensure that they didn't know certain details,It makes me feel more safe.,"Friends,Health Care Providers,Victim Advocates,Mental Health Counselors","Resident Assistants,Professors,,,, ",A safe one.,Expulsion.,I'd feel more safe.,A one that ensures safety and inclusion,Ensure everyone's safety, , ,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,"It makes me feel more confident that there are people not only on campus, but off campus as well such as a health care provider, who care about if you were sexually assaulted or not. It's also good to know that it's very confidential and that no one else will no about it except for the people that will help.","I would immediately tell someone who is on campus because I know they will act appropriately. I would also tell my best friend as I know she would never blame me or be judgmental of what happened. I would be very worried and confused and scared, but after knowing about the Title IX Mandate, I can feel confident that there are people who not only care but will do something about it.","I would tell my best friend, my UNI instructor, my advisor, or my RA",I would be encouraged to go seek support and help from CARE as I heard very good things about them and how adamant they are about helping victims. I know that they would help me in the right manner.,"I would like for them to be professional above all. It would be embarrassing if they were to be judgmental towards my situation or blow me off completely because they didn't want to know information like that. I would also expect for them to be understanding and wanting to immediately help because being in a situation like that, I would be scared, confused, and even feel ashamed for being in a situation like that. I would want for them to be supportive and helpful.","I would expect for students to be more understanding and helpful towards the situation. Looking at the video, it seemed that the girl's friends were not understanding at all and even blew her off. Hopefully with the Title IX Mandate, I would expect the students to be more aware and helpful.","It makes me feel a little bit safer, but above all it makes me more confident that if something were to ever happen, I know that I wouldn't be alone and that there are people who care and who support victims.","Friends,Peer Educators,,","Resident Assistants,Professors,Health Care Providers,Victim Advocates,Mental Health Counselors,",I believe that the university should make accommodations for the victim to be away from the person at all times. The university should also take immediate actions of expulsion of the student who committed the assault so that they won't affect any other person on campus.,"If it's only suspected, they should make them stay away from the victim, but not expulsion."," I would feel better because I would be able to at least tell them how I feel about the situation and what they did to hurt me. I believe that
everything could be talked out and that mediation is key for the victim to feel better and to get through the situation in a healthy manner.
Plus the counselor would assure them that they aren't alone."," A clean, safe environment that is helpful and nurturing to students and faculty members alike. The community is also protected with rules
enforced so that no one can get hurt."," Be aware of your surroundings so that you can help someone who needs it. Also be an advocate and supporter of anyone who gets
hurt.", ,,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,No,I think it is important that any possible nonconsensual sex is reported and investigated when reported to people who work for the campus.,I believe that I would go to my RA or the counseling center.,My RA or counseling center.,I believe I would be very open to going since it is so confidential.,I would want them to report it to a health phsycian or counselor.,I don't think it would have any negative effects,I believe it increases the safety,Friends,"Resident Assistants,Professors,Health Care Providers, ,,",I believe the victim should not have contact with the suspect in any ways and accommodations should be made for the student,I think an investigation should be started into the case,would feel more comfortable knowing a counselor was there,One where support and help is always readily available for any needs whether it be academic or personal,Communicate and be aware of resources, ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,It breaks my heart that students try to explain their experience and work through this trauma and then that information has to be reported to an outside source.,"I would immediately go to see a health care professional to check on my body's health. Then, I would talk to someone from Care.",I would tell a Care professional about my entire experience so they could help me deal with the trauma.,It would make me seek them out specifically instead of my RAB or a teacher in order to keep everything confidential.,I would want them to keep it only between us.,I'm not sure,It would just make me feel unsure about who I can talk to about what,"Health Care Providers,Victim Advocates,Mental Health Counselors,","Resident Assistants,Professors,Peer Educators,, , ",Respondent skipped this question,They should speak to the victim and make sure something is done to keep it from happening in future.,I would be afraid,Respondent skipped this question,Respondent skipped this question, , ,,, ,,, ,,, ,,,
18 years old,Black or African American,Yes,Yes,No,No,Like people care about women.,I would have assistance on campus.,The Heath care providers at DePaola,They would encourage me to get assistance,Keep it confidential.,It shouldn't.,It ensures it as a woman.,"Friends,Victim Advocates,Peer Educators,","Resident Assistants,Health Care Providers,Mental Health Counselors,, , ",Special for whatever they need.,reprimand them or expulsion,Respondent skipped this question,A safe and inclusive one.,Encourage safety and inclusiveness, , ,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,nonconsensual grabbing,I feel like it is needed to make people feel okay about talking about the event to know that it is confidential.,I would seek a healthcare provider first. Sadly I would not tell any of my friends because I feel like as shown in the video they might act that way.,I would make sure they are okay and ask them if they would like me to go to the doctor with them to get them tested or to talk to an adult.,I would be okay with it because it is confidential.,To keep if confidential.,I personally would want them to seek out help right away just because that is who I am but I feel like other people would react like in the video and try to shrug it off like it is no big deal,I feel like it provides more safety for individuals to know they can talk to someone.,"Friends,,,","Resident Assistants,Professors,Health Care Providers,Victim Advocates,Peer Educators,Mental Health Counselors",If they missed an assignment they could make it up if they need to.,They should be investigated and could possibly be kicked out of school,I would if someone else is there.,A safe place where anyone can lead a helping hand if needed.,Become more aware of your surroundings and be there if someone needs help., ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,It makes me feel safe because I know that I have resources on campus if I have an issue with nonconsensual sexual contact in the future.,I think I would first tell my roommate and then either go to the health center or CARE.,First my roommate then a counselor or health care provider.,"I like that Title IX provides the option for confidentiality through the services listed above. So, I think I would be more likely to choose to go to one of those services.",Since I know that they have to report it then I would want them to tell the appropriate authority and offer to talk about it with me.,I might be more cautious at parties and social gatherings now that I have learned about Title IX even though it is there to help and provide services for victims of sexual assault.,It makes the campus community a safer environment for everyone.,"Health Care Providers,Victim Advocates,,","Resident Assistants,Professors,Peer Educators, , ,",The university should offer an excused absence for students who have to miss class due to sexual assault.,The university should consider disciplinary measures through the Dean of Students.,I do not think I would be open to discussing the actions of the student with them even with a counselor.,An environment that is safe and inclusive for everyone.,Watch out for one another and do what they can to create a healthy environment for everyone., ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,Yes,"The Title IX Mandate has recently become a HUGE issue for students all across the nation. I feel as if the Title IX mandate can put students in a tough situation if they want to inform a professor due to missing an assignment or the like, but they have no desire to have their situation spread to higher officials. I think it is great for students who want to have the university help them and have the university help them through the process of healing. I'm glad that Title IX exists to protect students, but I also feel as if it should be the student's decision whether they wish to follow Title IX protocol or not.",I found comfort with my friends because my friends definitely understand the situation. I went to the counseling office in order to avoid Title IX because I didn't wish to get involved in the system. I am glad that I was informed enough to avoid the mandate coming into my life.,"My friends first, then I would go to the medical professionals responsible for my care. Afterwards, I would probably go to my parents for further emotional support.",Title IX encouraged me to visit these services because I really didn't want to get involved in the legal ramifications of Title IX.,I wish that they weren't mandated to inform the Title IX office. If I go to someone to tell them private information I want that information to stay between me and whomever I chose to disclose my life to. I don't want them to be mandated to tell other people against my will.,I know it helped my friendship when I helped a friend with filling her Title IX. It also brought me and my friends closer when she helped me decide whether i wanted to get involved with Title IX.,"It doesn't make me feel any safer. It makes me happier that there is a system in place to help me if I wan't it, but it doesn't keep sexual assault from happening.","Friends,Health Care Providers,Victim Advocates,","Resident Assistants,Professors,Peer Educators,Mental Health Counselors,, ",I believe that there should be academic assistance and leniency for students affected by sexual assault. Students can begin to fail classes and become depressed after the fact and they need help for any possible repercussions.," The university should immediately place them on probation pending legal hearings, and should remove convicted persons from the
campus PERMANENTLY.","I would refuse. If I wanted to confront my assaulter, I would do so legally. I get no comfort from regulated sharing of emotions.","Safe, fun, and crime-free.","Students should look out for their friends at parties and other social events where the student could potentially be harmed. Students
should also learn about consent and the consequences of sexual assault. Also, people should toss out stigmas and stereotypes in order
to no pass premature judgement on people and their experiences.
255", ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,The Title IX mandate makes me feel good knowing that people are always looking out for me. Being in a situation with nonconsensual sex is scary especially being a girl. Being in a vulnerable state such as that can be very frightening. I think it is a great thing that it needs to be reported because I think the offenders need to be punished for the crimes they have committed.,I would be scared and unsure of what to do. I would first talk to my friends and then an adult who I felt comfortable sharing my story with.,Yes.,I think that it would not affect my decision to as for help.,I would want them to handle it professionally and privately.,I do not think that it would effect my relationship with my friends.,I think that it will make me feel more safe.,"Friends,Peer Educators,,","Resident Assistants,Professors,Health Care Providers,Victim Advocates,Mental Health Counselors,",I think they should create safe environments for the victims and ask them where and what situations make them feel more comfortable or uncomfortable.,think they should be expelled.,I would be scared and I would definitely need help from my friends and trained professionals.,It looks like a strong community who stands together and helps each other in times of need.,"We can speak up and be there for each other.
", ,,,, ,,, ,,, ,,,
